Tract,Latitude_x,Longitude_x,Total Population_x,Housing Unit Estimate,Longitude_y,Latitude_y,California County_x,Pollution Burden,Education,Asthma,Asthma Pctl,PM2.5,Tox. Release,Tox. Release Pctl,Pollution Burden Score,California County_y,Total Population_y,Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Latitude,Longitude,Total Population,White Only Percentage,Non White Only Percentage,CNTY_NAME,LOWINCOME,PEOPCOLORPCT,LIFEEXPPCT,DSLPM,CANCER,RESP,RSEI_AIR,D2_DSLPM,D5_DSLPM,D2_PM25,D5_PM25,D2_CANCER,D5_CANCER,D5_RESP,D2_RESP,Shape_Length,Shape_Area
6037570404,33.877496,-118.1959346,3509.0,926.0,-118.1959346,33.877496,Los Angeles,61.49,36.3,85.11,87.76,12.38808685,9971.729859,97.36,7.51,Los Angeles,3676,71.87,1.31,18.2,0.0,5.17,33.877496,-118.1959346,3509.0,10.51581647,89.48415803,Los Angeles,1418,0.967956934,0.2,0.435015447,30.0,0.4,4461.411914,58.60036943,18.2028022,61.26402256,19.0302023,27.96835814,8.68770105,11.79045142,37.95705747,0.048359594,8.43468e-05
6037573300,33.7932987,-118.1757271,4068.0,1057.0,-118.1757078,33.7932911,Los Angeles,51.29,50.8,80.67,85.57,11.75572268,12675.84994,98.45,6.26,Los Angeles,4158,40.45,3.22,17.82,0.0,38.5,33.7932987,-118.1757271,4068.0,7.571288102,92.42868918,Los Angeles,2539,0.946228884,0.227692308,0.360715324,30.0,0.3,4762.253424,56.80928408,21.72806806,60.70033095,23.21629191,32.68479358,12.50108026,5.059961056,13.22955931,0.040293511,7.64798e-05
6037573403,33.7986098,-118.1589748,3446.0,1411.0,-118.1589588,33.7986075,Los Angeles,52.29,7.6,46.41,51.13,11.6385894,17995.73665,99.41,6.38,Los Angeles,3519,20.92,35.15,15.37,0.0,26.26,33.7986098,-118.1589748,3446.0,35.40336622,64.59661503,Los Angeles,466,0.626023945,0.134358974,0.330507176,30.0,0.3,6126.559094,26.27662256,6.07062894,30.9136736,7.141916366,16.22967864,3.74950611,1.517657235,6.56915564,0.081911386,0.000162078
6037573201,33.800619,-118.1853159,4606.0,1344.0,-118.1853182,33.8006191,Los Angeles,59.34,40.0,91.0,90.0,11.70913172,14146.06673,98.8,7.25,Los Angeles,4597,62.87,5.26,8.27,0.0,22.71,33.800619,-118.1853159,4606.0,10.18237082,89.81760968,Los Angeles,2560,0.945273632,0.222564103,0.359618362,30.0,0.3,5409.572372,55.69550184,19.98402258,60.27321433,21.62654501,32.04398736,11.49765683,4.653813478,12.97018536,0.031334144,5.85524e-05
6037574201,33.803924,-118.1276823,3287.0,1099.0,-118.1276554,33.8039339,Los Angeles,51.96,8.0,23.8,14.47,11.6427648,11891.26318,98.19,6.34,Los Angeles,3100,27.68,52.87,4.06,0.0,11.1,33.803924,-118.1276823,3287.0,54.57864314,45.42134304,Los Angeles,270,0.475882163,0.181538462,0.443992622,30.0,0.4,5895.016771,25.06636451,6.86888027,23.0948527,6.328631254,11.82907089,3.24149406,4.39917051,16.05373907,0.046395162,0.000126051
6037573902,33.8135353,-118.0775765,2263.0,911.0,-118.0775765,33.8135353,Los Angeles,52.46,4.4,25.18,16.79,11.62611756,4805.599935,92.05,6.41,Los Angeles,2031,23.58,55.98,4.14,0.49,10.49,33.8135353,-118.0775765,2263.0,59.47856827,40.52141382,Los Angeles,119,0.414512922,0.135384615,0.406635209,30.0,0.4,2102.899103,19.41998013,4.05848463,20.1304672,4.206965755,9.946819092,2.07873603,2.821141755,13.49925448,0.041878273,6.9307e-05
6037574100,33.8138403,-118.122827,5251.0,1839.0,-118.122827,33.8138403,Los Angeles,49.89,6.2,24.7,15.9,11.65093923,8228.803384,96.36,6.09,Los Angeles,5014,21.32,61.55,2.59,0.34,10.37,33.8138403,-118.122827,5251.0,63.09274424,36.90724873,Los Angeles,398,0.46221542,0.168205128,0.444286104,30.0,0.4,4065.240346,23.96735797,6.666162656,22.62087723,6.291659104,11.31043859,3.145829568,4.269340128,15.34988095,0.063955314,0.00017909
6037555212,33.8295224,-118.068418,4680.0,1436.0,-118.0662058,33.8273348,Los Angeles,46.06,44.3,47.02,52.12,11.68002345,4026.210002,89.36,5.62,Los Angeles,5110,81.78,5.6,2.99,0.0,6.71,33.8295224,-118.068418,4680.0,18.03418803,81.96579445,Los Angeles,2031,0.867729502,0.182564103,0.402526829,30.0,0.4,1564.417261,49.70669571,18.27221668,53.38867316,19.62571423,25.77384222,9.474482724,12.85822655,34.97878587,0.042111804,7.88872e-05
6037555002,33.8352186,-118.089263,3563.0,1193.0,-118.089263,33.8352186,Los Angeles,57.5,11.9,29.29,23.73,11.7071006,4151.036743,89.98,7.02,Los Angeles,3625,37.74,28.74,14.73,0.0,17.54,33.8352186,-118.089263,3563.0,27.44877912,72.55120052,Los Angeles,854,0.732152029,,0.400150736,30.0,0.4,1626.328951,38.5342835,8.424506979,41.86440678,9.15255082,19.98073959,4.368262878,5.928356763,27.11671802,0.039303982,8.86716e-05
6037576001,33.7607008,-118.1971195,5921.0,4004.0,-118.1938633,33.7631159,Los Angeles,58.34,2.9,80.31,85.39,11.73964651,9917.723306,97.34,7.12,Los Angeles,5174,12.74,50.93,13.72,0.0,20.2,33.7607008,-118.1971195,5921.0,48.84310083,51.15689053,Los Angeles,818,0.467620336,0.196923077,0.611519797,30.0,0.4,4632.879594,30.80044881,9.926588462,22.62890118,7.293003734,13.20019235,4.254252198,5.773627983,17.91454676,0.082035955,0.000306198
6037576503,33.7718291,-118.1697407,4093.0,1856.0,-118.1697407,33.7718291,Los Angeles,38.16,17.5,55.94,63.97,11.62534541,9697.096517,97.2,4.66,Los Angeles,4469,39.81,32.76,16.4,1.12,5.33,33.7718291,-118.1697407,4093.0,38.04055705,61.95942781,Los Angeles,1130,0.70141124,0.272820513,0.433653773,30.0,0.3,4039.419894,43.79990358,16.00756978,36.8317371,13.46091093,20.90449943,7.639976484,3.092371434,8.461345009,0.023191681,3.03454e-05
6037576802,33.7717856,-118.1577274,3989.0,1911.0,-118.1577274,33.7717856,Los Angeles,38.29,5.6,37.16,36.7,11.58107322,9295.183267,97.0,4.68,Los Angeles,4061,19.08,40.53,26.87,0.0,10.64,33.7717856,-118.1577274,3989.0,48.43319128,51.5667958,Los Angeles,1104,0.530329289,0.180512821,0.3957827,20.0,0.3,3840.221205,32.429834,10.42545992,29.99759646,9.643550417,1.216118775,0.390954747,2.215410233,6.891339725,0.027619118,4.55303e-05
6037576502,33.7719179,-118.1740905,4190.0,2180.0,-118.1740906,33.771918,Los Angeles,42.28,15.8,66.27,75.64,11.62534541,10007.38981,97.39,5.16,Los Angeles,4658,48.5,32.12,11.31,0.84,5.13,33.7719179,-118.1740905,4190.0,35.46539379,64.5345908,Los Angeles,2079,0.724711407,0.228717949,0.449081173,30.0,0.3,4243.261415,50.9166504,15.67004985,41.86480141,12.88426323,23.76110352,7.31268993,2.959898305,9.61758952,0.023814032,2.99395e-05
6037576501,33.7722391,-118.1787305,3094.0,1546.0,-118.1787306,33.772239,Los Angeles,45.52,22.1,82.02,86.52,11.62534541,10120.28337,97.42,5.56,Los Angeles,2986,43.07,27.7,12.06,0.0,8.0,33.7722391,-118.1787305,3094.0,30.63994829,69.3600293,Los Angeles,1838,0.774011299,0.204102564,0.466141142,30.0,0.3,4302.970018,62.6598798,22.30308648,50.40033808,17.93943909,28.6055973,10.18184383,4.121222501,11.57845605,0.021662275,2.8359e-05
